NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ЭК,11/2016,NL,38,,10473.03,21340,0
ИМ,12/2016,DE,38,,3510.76,1744,0
ИМ,10/2016,BY,73,,395.8,494.1,0
ИМ,12/2016,TR,73,,25828.59,20960,0
ИМ,12/2016,IT,73,,5016.23,1154.68,0
ИМ,12/2016,TW,90,,1372.82,59.69,0
ЭК,12/2016,AB,34,,271.06,246.78,0
ЭК,12/2016,UA,34,,4124.82,4869.14,0
ИМ,11/2016,DE,34,,1905.4,366.8,0
ИМ,11/2016,CN,44,,274345.46,680578,0
ЭК,10/2016,KZ,44,,12201.64,20800,0
ИМ,12/2016,BY,70,,43.13,11.48,0
ИМ,11/2016,SI,70,,744.99,196.8,0
ИМ,11/2016,BG,70,,288.19,77.76,0
ИМ,12/2016,IT,68,,25612.03,21800,0
ИМ,10/2016,DE,32,,139598.03,42688.24,0
ИМ,12/2016,TR,32,,9900,3e3,0
ИМ,11/2016,DE,32,,69944.41,21634.02,0
ИМ,12/2016,CN,74,,341.34,17.24,0
ЭК,12/2016,AZ,18,,24230.91,12e3,0
ЭК,11/2016,KG,18,,9356.07,4078.5,0
ИМ,12/2016,CN,40,,652.75,72.25,0
ИМ,11/2016,ID,94,,27639.9,4523,0
ИМ,12/2016,UA,40,,8822.88,10419,0
ЭК,10/2016,UA,20,,14539.25,47068.45,0
ЭК,11/2016,GE,20,,1286.59,4017.6,0
ЭК,12/2016,BY,20,,13447.63,19035.66,0
ИМ,10/2016,AM,03,,1221,150.3,0
ЭК,10/2016,AB,25,,5616.28,54750,0
ИМ,12/2016,TH,57,М2,2581.32,76.5,13.1
ЭК,12/2016,UA,15,,56251.79,63423.51,0
ЭК,12/2016,UZ,15,,737593.51,817908.57,0
ЭК,12/2016,AM,15,,7270,7905,0
ЭК,10/2016,UA,15,,135817.91,146584.62,0
ЭК,10/2016,AZ,15,,18781.17,17927,0
ЭК,11/2016,DE,15,,19983.89,19016.75,0
ЭК,12/2016,IR,84,,45243.66,7500,0
ИМ,11/2016,US,84,,202.94,0.48,0
ИМ,11/2016,CN,39,,48295.6,21541.63,0
ИМ,12/2016,CN,39,,109564.26,53092.37,0
ЭК,11/2016,BY,71,,1438.19,8.11,0
ИМ,11/2016,TR,85,,9735.92,378.37,0
ЭК,11/2016,PL,39,,984.55,77.25,0
ИМ,10/2016,CH,59,,17848.08,197.4,0
ЭК,11/2016,KZ,85,,14094.76,101.94,0
ЭК,11/2016,BY,85,,7136.54,88.85,0
ИМ,10/2016,RS,85,,3355.94,5.8,0
ИМ,12/2016,IT,82,,20806,280,0
