....................
KOD,SIMPLE_NAM
0203295901,"ПРОЧИЕ ЧАСТИ ДОМАШНИХ СВИНЕЙ, МОРОЖЕНЫЕ, КРОМЕ ОБВАЛЕННЫХ,ПРИ НАЛИЧИИ ЛИЦЕНЗИИ, ВЫДАННОЙ КОМПЕТЕНТНЫМИ ОРГАНАМИ"
0203295909,"ПРОЧИЕ ЧАСТИ ДОМАШНИХ СВИНЕЙ, МОРОЖЕНЫЕ, КРОМЕ ОБВАЛЕННЫХ,ПРОЧИЕ"
02032990,"ПРОЧАЯ СВИНИНА, МОРОЖЕНАЯ"
0203299001,"ПРОЧАЯ СВИНИНА, МОРОЖЕНАЯ, В ПОРЯДКЕ, УКАЗАННОМ В ДОПОЛНИТЕЛЬНОМ ПРИМЕЧАНИИ 2 ТАМОЖЕННОГО СОЮЗА К ГРУППЕ 02"
0203299002,"ТРИММИНГ ПРИ НАЛИЧИИ ЛИЦЕНЗИИ, ВЫДАННОЙ КОМПЕТЕНТНЫМ ОРГАНОМ, ПРОЧЕЙ СВИНИНЫ"
0203299003,ТРИММИНГ
0203299008,"ПРОЧАЯ СВИНИНА, МОРОЖЕНАЯ,ПРОЧАЯ"
0203299009,"ПРОЧАЯ СВИНИНА, МОРОЖЕНАЯ,ПРИ НАЛИЧИИ ЛИЦЕНЗИИ, ПРОЧАЯ"
0204,"БАРАНИНА ИЛИ КОЗЛЯТИНА СВЕЖАЯ, ОХЛАЖДЕННАЯ ИЛИ ЗАМОРОЖЕННАЯ"
020410,ТУШИ И ПОЛУТУШИ ЯГНЯТ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
02041000,ТУШИ И ПОЛУТУШИ ЯГНЯТ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
0204100000,ТУШИ И ПОЛУТУШИ ЯГНЯТ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
020421,ТУШИ И ПОЛУТУШИ БАРАНИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
02042100,ТУШИ И ПОЛУТУШИ БАРАНИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
0204210000,ТУШИ И ПОЛУТУШИ БАРАНИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
020422,"ПРОЧИЕ ОТРУБА БАРАНЬИ ОХЛАЖДЕННЫЕ ИЛИ СВЕЖИЕ, НЕОБВАЛЕННЫЕ"
02042210,ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА БАРАНИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
0204221000,ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА БАРАНИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
02042230,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ БАРАНИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0204223000,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ БАРАНИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02042250,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ БАРАНИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0204225000,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ БАРАНИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02042290,"ПРОЧИЕ ОТРУБА БАРАНИНЫ, НЕОБВАЛЕННЫЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0204229000,"ПРОЧИЕ ОТРУБА БАРАНИНЫ, НЕОБВАЛЕННЫЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
020423,"ПРОЧАЯ БАРАНИНА, ОБВАЛЕННАЯ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
02042300,"ПРОЧАЯ БАРАНИНА, ОБВАЛЕННАЯ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
0204230000,"ПРОЧАЯ БАРАНИНА, ОБВАЛЕННАЯ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
020430,"ТУШИ И ПОЛУТУШИ ЯГНЯТ, МОРОЖЕНЫЕ"
02043000,"ТУШИ И ПОЛУТУШИ ЯГНЯТ, МОРОЖЕНЫЕ"
0204300000,"ТУШИ И ПОЛУТУШИ ЯГНЯТ, МОРОЖЕНЫЕ"
020441,"ТУШИ И ПОЛУТУШИ БАРАНИНЫ, МОРОЖЕНЫЕ"
02044100,"ТУШИ И ПОЛУТУШИ БАРАНИНЫ, МОРОЖЕНЫЕ"
0204410000,"ТУШИ И ПОЛУТУШИ БАРАНИНЫ, МОРОЖЕНЫЕ"
020442,"ПРОЧИЕ ОТРУБА БАРАНЬИ НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
02044210,"ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
0204421000,"ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
02044230,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
0204423000,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
02044250,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
0204425000,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
02044290,"ПРОЧИЕ ОТРУБА БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
0204429000,"ПРОЧИЕ ОТРУБА БАРАНИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
020443,"ПРОЧИЕ ОТРУБА БАРАНЬИ МОРОЖЕНЫЕ, ОБВАЛЕННЫЕ"
02044310,"ЯГНЯТА, ОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
0204431000,"ЯГНЯТА, ОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
02044390,"ПРОЧАЯ БАРАНИНА, ОБВАЛЕННАЯ, МОРОЖЕНАЯ"
0204439000,"ПРОЧАЯ БАРАНИНА, ОБВАЛЕННАЯ, МОРОЖЕНАЯ"
020450,КОЗЛЯТИНА
02045011,ТУШИ И ПОЛУТУШИ КОЗЛЯТИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
0204501100,ТУШИ И ПОЛУТУШИ КОЗЛЯТИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
02045013,ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА КОЗЛЯТИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
0204501300,ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА КОЗЛЯТИНЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
02045015,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ КОЗЛЯТИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0204501500,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ КОЗЛЯТИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02045019,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ КОЗЛЯТИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0204501900,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ КОЗЛЯТИНЫ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02045031,"ПРОЧИЕ ОТРУБА КОЗЛЯТИНЫ, НЕОБВАЛЕННЫЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0204503100,"ПРОЧИЕ ОТРУБА КОЗЛЯТИНЫ, НЕОБВАЛЕННЫЕ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02045039,"КОЗЛЯТИНА СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ, ПРОЧАЯ: МЯСО ОБВАЛЕННОЕ"
0204503900,"КОЗЛЯТИНА СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ, ПРОЧАЯ: МЯСО ОБВАЛЕННОЕ"
02045051,"ТУШИ И ПОЛУТУШИ КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
0204505100,"ТУШИ И ПОЛУТУШИ КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
02045053,"ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
0204505300,"ПЕРЕДНИЕ ЧЕТВЕРТИНЫ КОРОТКОГО РАЗРУБА КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
02045055,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
0204505500,"ХРЕБТОВЫЕ КРАЯ СПИННОЙ ЧАСТИ И (ИЛИ) ПОЧЕЧНЫЕ ЧАСТИ КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
02045059,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
0204505900,"ТАЗОБЕДРЕННЫЕ ЧАСТИ С ГОЛЯШКОЙ КОЗЛЯТИНЫ, МОРОЖЕНЫЕ"
02045071,"ПРОЧИЕ ОТРУБА КОЗЛЯТИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
0204507100,"ПРОЧИЕ ОТРУБА КОЗЛЯТИНЫ, НЕОБВАЛЕННЫЕ, МОРОЖЕНЫЕ"
02045079,"КОЗЛЯТИНА ЗАМОРОЖЕННАЯ, ПРОЧАЯ: МЯСО ОБВАЛЕННОЕ"
0204507900,"КОЗЛЯТИНА ЗАМОРОЖЕННАЯ, ПРОЧАЯ: МЯСО ОБВАЛЕННОЕ"
0205,"МЯСО ЛОШАДЕЙ (КОНИНА), ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖЕЕ, ОХЛАЖДЕННОЕ ИЛИ МОРОЖЕНОЕ"
020500,"МЯСО ЛОШАДЕЙ (КОНИНА), ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖЕЕ, ОХЛАЖДЕННОЕ ИЛИ МОРОЖЕНОЕ"
02050020,"МЯСО ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖЕЕ ИЛИ ОХЛАЖДЕННОЕ"
0205002000,"МЯСО ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖЕЕ ИЛИ ОХЛАЖДЕННОЕ"
02050080,"МЯСО ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ ЗАМОРОЖЕННОЕ"
0205008000,"МЯСО ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ ЗАМОРОЖЕННОЕ"
0206,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВИНЕЙ, ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
020610,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02061010,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206101000,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
02061095,"ТОЛСТАЯ ДИАФРАГМА И ТОНКАЯ ДИАФРАГМА КРУПНОГО РОГАТОГО СКОТА, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0206109500,"ТОЛСТАЯ ДИАФРАГМА И ТОНКАЯ ДИАФРАГМА КРУПНОГО РОГАТОГО СКОТА, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02061098,"ПРОЧИЕ ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВИНЕЙ, ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
0206109800,"ПРОЧИЕ ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВИНЕЙ, ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
020621,"ЯЗЫКИ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ"
02062100,"ЯЗЫКИ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ"
0206210000,"ЯЗЫКИ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ"
020622,ПЕЧЕНЬ КРУПНОГО РОГАТОГО СКОТА
02062200,ПЕЧЕНЬ КРУПНОГО РОГАТОГО СКОТА
0206220001,"ПЕЧЕНЬ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕННАЯ ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206220009,"ПРОЧИЕ ПЕЧЕНЬ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕННАЯ"
020629,"ПРОЧИЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ"
02062910,"ПРОЧИЕ ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206291000,"ПРОЧИЕ ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
02062991,"ТОЛСТАЯ ДИАФРАГМА И ТОНКАЯ ДИАФРАГМА КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНАЯ ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206299100,"ТОЛСТАЯ ДИАФРАГМА И ТОНКАЯ ДИАФРАГМА КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНАЯ ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
02062999,"ПРОЧИЕ ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206299900,"ПРОЧИЕ ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, МОРОЖЕНЫЕ ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
020630,"СВИНЕЙ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02063000,"СВИНЕЙ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0206300001,"ПЕЧЕНЬ СВИНЬИ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ  ПРОДУКЦИИ"
0206300002,"ПЕЧЕНЬ СВИНЬИ, СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ ПРОЧАЯ"
0206300003,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ (ИСКЛЮЧАЯ ПЕЧЕНЬ) ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206300004,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ (ИСКЛЮЧАЯ ПЕЧЕНЬ) ПРОЧИЕ"
020641,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВИНЕЙ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ СВИНЕЙ, ЗАМОРОЖЕННЫЕ ПЕЧЕНЬ"
02064100,"ПИЩЕВЫЕ СУБПРОДУКТЫ КРУПНОГО РОГАТОГО СКОТА, СВИНЕЙ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ СВИНЕЙ, ЗАМОРОЖЕННЫЕ ПЕЧЕНЬ"
0206410001,"ПЕЧЕНЬ ЗАМОРОЖЕННАЯ СВИНЕЙ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206410009,"ПЕЧЕНЬ ЗАМОРОЖЕННАЯ СВИНЕЙ, ПРОЧАЯ"
020649,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, ЗАМОРОЖЕННЫЕ"
02064900,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, ЗАМОРОЖЕННЫЕ"
0206490001,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, ЗАМОРОЖЕННЫЕ: ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206490002,"ПРОЧИЕ ПИЩЕВЫЕ СУБПРОДУКТЫ ДОМАШНИХ СВИНЕЙ, ЗАМОРОЖЕННЫЕ"
0206490008,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, ЗАМОРОЖЕННЫЕ: ПРОЧИЕ"
0206490009,"ПИЩЕВЫЕ СУБПРОДУКТЫ СВИНЕЙ, ЗАМОРОЖЕННЫЕ: ПРОЧИЕ"
020680,ПРОЧИЕ СУБПРОДУКТЫ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
02068010,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206801000,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
02068091,"ПИЩЕВЫЕ СУБПРОДУКТЫ ЛОШАДЕЙ, ОСЛОВ, МУЛОВ И ЛОШАКОВ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0206809100,"ПИЩЕВЫЕ СУБПРОДУКТЫ ЛОШАДЕЙ, ОСЛОВ, МУЛОВ И ЛОШАКОВ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02068099,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ И КОЗ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
0206809900,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ И КОЗ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
020690,ПРОЧИЕ СУБПРОДУКТЫ МОРОЖЕНЫЕ
02069010,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, МОРОЖЕНЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
0206901000,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ, КОЗ, ЛОШАДЕЙ, ОСЛОВ, МУЛОВ ИЛИ ЛОШАКОВ, МОРОЖЕНЫЕ, ДЛЯ ПРОИЗВОДСТВА ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ"
02069091,"ПИЩЕВЫЕ СУБПРОДУКТЫ ЛОШАДЕЙ, ОСЛОВ, МУЛОВ И ЛОШАКОВ, МОРОЖЕНЫЕ"
0206909100,"ПИЩЕВЫЕ СУБПРОДУКТЫ ЛОШАДЕЙ, ОСЛОВ, МУЛОВ И ЛОШАКОВ, МОРОЖЕНЫЕ"
02069099,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ И КОЗ, МОРОЖЕНЫЕ"
0206909900,"ПИЩЕВЫЕ СУБПРОДУКТЫ ОВЕЦ И КОЗ, МОРОЖЕНЫЕ"
0207,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ДОМАШНЕЙ ПТИЦЫ, УКАЗАННОЙ В ТОВАРНОЙ ПОЗИЦИИ 0105, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
020711,"ТУШКИ ДОМАШНИХ КУР НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02071110,МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ДОМАШНЕЙ ПТИЦЫ ОЩИПАННЫЕ И ПОЛУПОТРОШЕНЫЕ
0207111001,"ОЩИПАННЫЕ И БЕЗ КИШОК, С ГОЛОВОЙ И ПЛЮСНАМИ НОГ, ПРЕДСТАВЛЕННЫЕ КАК 83%-НЫЕ ЦЫПЛЯТА, В ОТНОШЕНИ КОТОРЫХ УСТАНОВЛЕНА ТАРИФНАЯ КВОТА, ПРИ НАЛИЧИИ ЛИЦЕНЗИИ, ВЫДАННОЙ КОМПЕТЕНТНЫМ ОРГАНОМ"
0207111009,"ПРОЧИЕ ОЩИПАННЫЕ И БЕЗ КИШОК, С ГОЛОВОЙ И ПЛЮСНАМИ НОГ, ПРЕДСТАВЛЕННЫЕ КАК 83%-НЫЕ ЦЫПЛЯТА"
02071130,"МЯСО КУР ДОМАШНИХ  НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ ОЩИПАННЫЕ И ПОТРОШЕНЫЕ, БЕЗ ГОЛОВЫ И ПЛЮСЕН НОГ, НО С ШЕЙКОЙ,СЕРДЦЕМ ПЕЧЕНЬЮ И МУСКУЛЬНЫМ ЖЕЛУДКОМ,ПРЕДСТАВЛЕННЫЕ КАК 70%-НЫЕ ЦЫПЛЯТА"
0207113001,"ОЩИП.И ПОТРОШ.,БЕЗ ГОЛОВЫ И ПЛЮСЕН НОГ,НО С ШЕЙКОЙ,СЕРДЦЕМ,ПЕЧЕНЬЮ И МУСКУЛЬНЫМ ЖЕЛУДКОМ,ПРЕДСТ.КАК""70%-ЦЫПЛЯТА"",НЕ РАЗД.НА ЧАСТИ,СВЕЖИЕ ИЛИ ОХЛАЖД.ПРИ НАЛИЧ.ЛИЦЕНЗИИ,ВЫДАННОЙ КОМП.ОРГАНАМИ"
0207113009,"ПРОЧИЕ ОЩИПАННЫЕ И ПОТРОШЕНЫЕ, БЕЗ ГОЛОВЫ И ПЛЮСЕН НОГ, НО С ШЕЙКОЙ, СЕРДЦЕМ, ПЕЧЕНЬЮ И МУСКУЛЬНЫМ ЖЕЛУДКОМ, ПРЕДСТАВЛЕННЫЕ КАК ""70%-ЦЫПЛЯТА"", НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
02071190,"МЯСО КУР ДОМАШНИХ  НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ,СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ ОЩИПАННЫЕ И ПОТРОШЕНЫЕ, БЕЗ ГОЛОВЫ И ПЛЮСЕН НОГ,НО С ШЕЙКОЙ, СЕРДЦЕМ ПЕЧЕНЬЮ И МУСКУЛЬНЫМ ЖЕЛУДКОМ,ПРЕДСТАВЛЕННЫЕ КАК 65%-ЫЕ ЦЕПЛЯТА"
0207119001,"ОЩИП.И ПОТР.,БЕЗ ГОЛОВЫ И ПЛЮСЕН НОГ,БЕЗ ШЕЙКИ,СЕРДЦА,ПЕЧЕНИ,И МУСКУЛЬНОГО ЖЕЛУДКА,ПРЕДСТАВЛ.КАК""65%-НЫЕ ЦЫПЛЯТА"",...НЕ РАЗД.НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖД.,ПРИ НАЛИЧИ ЛИЦЕН.ВЫДАН.КОМП.ОРГАНАМИ"
0207119009,"ПРПОЧИЕ ОЩИПАННЫЕ И ПОТРОШЕНЫЕ, БЕЗ ГОЛОВЫ И ПЛЮСЕН НОГ И БЕЗ ШЕЙКИ, СЕРДЦА, ПЕЧЕНИ, И МУСКУЛЬНОГО ЖЕЛУДКА, ПРЕДСТАВЛЕННЫЕ КАК ""65%-НЫЕ ЦЫПЛЯТА"",...НЕ РАЗДЕЛАННЫЕ НА ЧАСТИ, СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ"
020712,"ТУШКИ ДОМАШНИХ КУР НЕ РАЗДЕЛЕННЫЕ НА ЧАСТИ, МОРОЖЕНЫЕ"
